anno,mese,benzina,diesel,gpl,metano,ibride_full,ibride_mild,ibride_plugin,elettriche,idrogeno,totale
2010,1,63439,81672,49473,11824,847,0,0,4,0,207259
2011,1,66035,89003,6011,2859,435,0,0,6,0,164349
2011,2,47515,73248,6648,3664,281,0,0,28,0,131384
2011,3,75062,105615,4405,3430,653,0,0,37,0,189202
2011,5,67294,94977,5327,3991,419,0,0,18,0,172026
2011,6,65842,95847,5181,3535,344,0,0,18,0,170767
2011,12,44166,58772,5912,3594,360,0,0,19,0,112823
2012,1,51609,76460,5971,4211,416,0,0,57,0,138724
2012,2,47661,73666,6706,3673,286,0,0,30,0,132022
2012,3,47157,78432,8644,4753,446,0,0,27,0,139459
2012,4,42770,68029,13693,5954,337,0,0,46,0,130829
2012,5,51453,75954,14259,5847,657,0,0,29,0,148199
2012,6,43052,68729,12343,4705,659,0,0,103,0,129591
2012,7,35524,59202,10870,3857,560,0,0,30,0,110043
2012,8,16942,31046,6439,2415,254,0,0,16,0,57112
2012,9,34181,58235,12902,4586,677,0,0,20,0,110601
2012,10,36510,60929,14840,5090,902,0,0,80,0,118351
2012,11,32925,56166,13066,4796,898,0,0,25,0,107876
2012,12,27906,46002,9620,3854,692,0,0,57,0,88131
2013,1,36773,60329,11261,5488,1017,0,0,33,0,114901
2013,2,35498,59726,9418,4210,962,0,0,8,0,109822
2013,3,39483,73029,11976,7645,1200,0,0,36,0,133369
2013,4,37861,61571,10216,6597,1098,0,0,56,0,117399
2013,5,44699,73127,11484,6582,1515,0,0,118,0,137525
2013,6,38217,66584,11195,6085,1222,0,0,153,0,123456
2013,7,32612,59424,9689,5797,1353,0,0,83,0,108958
2013,8,15615,28685,5389,3476,469,0,0,41,0,53675
2013,9,31722,58836,9681,5860,1600,0,0,70,0,107769
2013,10,34356,61601,9310,5381,1625,0,0,79,0,112352
2013,11,29319,58003,8762,5717,1548,0,0,127,0,103476
2013,12,25782,49957,7779,5238,1562,0,0,70,0,90388
2014,1,35648,65932,9715,5852,1546,0,0,34,0,118727
2014,2,37341,66011,9836,4313,1553,0,0,63,0,119117
2014,3,41533,80232,10572,5877,1769,0,0,132,0,140115
2014,4,35884,68496,8896,5066,1414,0,0,47,0,119803
2014,5,37715,72895,12391,6711,2713,0,0,130,0,132555
2014,6,37407,71017,11565,6209,1930,0,0,142,0,128270
2014,7,31277,63773,11438,6700,1405,0,0,98,0,114691
2014,8,14720,29604,5346,3348,646,0,0,33,0,53697
2014,9,31977,58964,10937,7591,1853,0,0,72,0,111394
2014,10,33914,66627,12423,7943,2112,0,0,151,0,123170
2014,11,28893,60428,11357,6496,1841,0,0,91,0,109106
2014,12,26614,49054,9520,5957,1689,0,0,86,0,92920
2015,1,51665,87734,8698,4702,3250,0,0,114,0,156163
2015,2,40513,76915,11218,5614,1977,0,0,116,0,136353
2015,3,50504,91626,12229,6252,2554,0,0,345,0,163510
2015,4,46563,83035,12711,5649,2100,0,0,100,0,150158
2015,5,46365,82335,11702,5390,2234,0,0,94,0,148120
2015,6,45293,82676,12144,5860,2396,0,0,153,0,148522
2015,7,43197,72370,10895,5554,1756,0,0,96,0,133868
2015,8,18079,33779,4560,2753,845,0,0,49,0,60065
2015,9,43230,71500,9011,5788,2699,0,0,87,0,132315
2015,10,43115,75503,8805,5339,2496,0,0,94,0,135352
2015,11,41583,78984,9056,4471,2538,0,0,93,0,136725
2015,12,34805,64077,6841,3860,2370,0,0,115,0,112068
2016,1,39133,72998,12018,6483,2272,0,0,143,0,133047
2016,2,58644,97451,9411,4774,3528,0,0,75,0,173883
2016,3,65104,108341,10297,4812,3255,0,0,199,0,192008
2016,4,59668,92067,9495,4412,2966,0,0,88,0,168696
2016,5,62939,108062,10091,4237,3559,0,0,92,0,188980
2016,6,54385,95200,9366,3952,3052,0,0,92,0,166047
2016,7,42911,81055,7894,2807,2629,0,0,71,0,137367
2016,8,22168,42503,4340,1559,1523,0,0,47,0,72140
2016,9,50614,89251,8264,3174,3900,0,0,143,0,155346
2016,10,46267,87209,8262,3130,3393,0,0,145,0,148406
2016,11,44848,88842,8384,3256,3459,0,0,108,0,148897
2016,12,38689,76084,7601,2845,3546,0,0,115,0,128880
2017,1,58456,95323,11429,3101,4735,0,0,188,0,173232
2017,2,61809,104091,11657,2636,5270,0,148,120,0,185731
2017,3,75864,128530,13879,3523,5676,0,174,229,0,227875
2017,4,50780,94436,9734,1989,4559,0,160,124,0,161782
2017,5,68409,115027,12820,2664,6687,0,222,149,0,205978
2017,6,56148,111752,12772,2695,5947,0,408,195,0,189917
2017,7,45660,82624,11487,1980,5114,0,268,145,0,147278
2017,8,24987,48809,6072,1591,2814,0,153,98,0,84524
2017,9,52021,97842,9732,3274,5692,0,344,182,0,169087
2017,10,50295,89143,10927,3184,6433,0,301,235,0,160518
2017,11,47582,89744,11251,3286,6612,0,251,154,0,158880
2017,12,37101,71783,8071,2835,4756,0,228,197,0,124971
2018,1,58453,99365,11244,3219,6922,0,311,258,0,179772
2018,2,58539,103584,10505,4296,6321,0,246,246,0,183737
2018,3,72907,117428,12505,4517,7222,0,369,437,0,215385
2018,4,59101,91334,10701,4128,7120,0,187,261,0,172832
2018,5,70626,103802,12383,5528,7555,0,312,609,0,200815
2018,6,58221,93153,11621,4975,7308,0,697,445,0,176420
2018,7,50934,78664,12493,3333,7348,0,646,645,0,154063
2018,8,26950,52008,7641,1673,3770,0,378,190,0,92610
2018,9,48824,60615,7381,1224,7466,0,339,488,0,126337
2018,10,61708,65279,10576,1191,8241,0,570,589,0,148154
2018,11,60351,66956,10586,1942,7667,0,449,464,0,148415
2018,12,52188,58469,7740,1431,5566,0,180,380,1,125955
2019,1,74851,68347,12173,1740,8238,0,355,283,0,165987
2019,2,75974,80555,10389,1988,9188,0,269,253,0,178616
2019,3,80330,88345,12881,2747,9894,0,460,622,1,195280
2019,4,78571,71201,12107,3033,8975,0,541,1193,5,175626
2019,5,86637,83224,13086,3804,10211,0,483,1172,1,198618
2019,6,74191,72726,11963,3548,9193,0,396,1453,0,173470
2019,7,68993,57576,14088,3936,8388,0,389,943,0,154313
2019,8,39219,34267,9035,2244,2619,1483,306,537,0,89710
2019,9,63803,52453,11054,3510,6627,3675,790,1257,0,143169
2019,10,72693,57046,10781,4580,6830,4977,849,947,0,158703
2019,11,69562,56452,9730,4040,5859,4677,982,1068,0,152370
2019,12,68996,49499,9518,3441,5092,4120,700,850,10,142226
2020,1,72742,52700,9626,4123,14409,0,1345,1945,0,156890
2020,2,73616,57310,9155,3580,16894,0,1223,2531,0,164309
2020,3,10161,10566,2240,738,3578,0,388,926,0,28597
2020,4,1522,1769,176,77,255,0,26,500,0,4325
2020,5,41466,36309,6431,1957,11442,0,1176,1816,0,100597
2020,6,52997,47415,9632,3152,16039,0,1645,2228,0,133108
2020,7,52850,50652,8830,3605,17447,0,2094,1608,0,137086
2020,8,32283,31483,6047,2515,13419,0,1598,1877,0,89222
2020,9,51607,50863,11963,3506,32349,0,2874,4089,2,157253
2020,10,49809,48726,11553,2527,39093,0,3653,2889,0,158250
2020,11,43533,40395,11124,2795,32309,0,4940,4810,0,139906
2020,12,40023,31297,7319,3022,25916,0,6374,7255,0,121206
2021,1,48594,36497,8190,2747,8236,24623,3758,2497,0,135142
2021,2,47348,36265,7489,3391,9599,32062,4918,3460,0,144532
2021,3,53129,42032,10514,4376,10227,36059,7748,7375,2,171462
2021,4,46614,33415,9451,3256,42010,0,6673,4851,0,146270
2021,5,44664,33653,9214,3205,40343,0,7727,5163,1,143970
2021,6,45492,33635,12259,3602,41200,0,7118,7025,0,150331
2021,7,30444,25218,9337,2197,32736,0,6272,5096,0,111300
2021,8,16294,14006,6327,1508,5217,15387,3199,3247,0,65185
2021,9,26591,20320,9987,2172,8018,25258,5507,8492,0,106345
2021,10,26455,18449,7942,1413,8426,27643,5123,7134,0,102585
2021,11,28656,20247,9862,1930,9156,24318,5560,6958,3,106690
2021,12,23161,18318,7190,1618,8599,18219,5657,6205,4,88971
2022,1,29659,20734,10059,1421,10857,27159,5461,3658,0,109008
2022,2,29669,25040,9237,1391,9691,28842,5473,3175,0,112518
2022,3,33164,25541,11244,1315,11106,28314,6083,4511,0,121278
