n,marca,modello,2022-04,n_ytd,marca_ytd,modello_ytd,2022-04_ytd
1,FIAT,PANDA,9474,1,FIAT,PANDA,39432
2,FORD,PUMA,2898,2,LANCIA,YPSILON,13508
3,VOLKSWAGEN,T-ROC,2743,3,DACIA,SANDERO,12310
4,LANCIA,YPSILON,2742,4,FORD,PUMA,12274
5,DACIA,SANDERO,2724,5,CITROEN,C3,10763
6,TOYOTA,YARIS CROSS,2280,6,JEEP,COMPASS,9307
7,JEEP,COMPASS,2250,7,FIAT,500X,9165
8,FIAT,500,2087,8,TOYOTA,YARIS,8936
9,FIAT,500X,1969,9,TOYOTA,YARIS CROSS,8914
10,JEEP,RENEGADE,1941,10,DACIA,DUSTER,8777
11,CITROEN,C3,1861,11,JEEP,RENEGADE,8660
12,PEUGEOT,3008,1653,12,PEUGEOT,208,8511
13,OPEL,CORSA,1636,13,FIAT,500,8059
14,TOYOTA,YARIS,1632,14,RENAULT,CAPTUR,8029
15,PEUGEOT,208,1449,15,PEUGEOT,3008,6851
16,RENAULT,CAPTUR,1352,16,PEUGEOT,2008,6525
17,VOLKSWAGEN,T-CROSS,1350,17,OPEL,CORSA,6487
18,CITROEN,C3 AIRCROSS,1303,18,FORD,KUGA,6452
19,BMW,X1,1214,19,VOLKSWAGEN,T-ROC,6418
20,AUDI,Q3,1170,20,RENAULT,CLIO,6274
21,KIA,SPORTAGE,1104,21,VOLKSWAGEN,POLO,6116
22,VOLKSWAGEN,POLO,1088,22,CITROEN,C3 AIRCROSS,5773
23,DACIA,DUSTER,1034,23,VOLKSWAGEN,T-CROSS,5610
24,HYUNDAI,I10,1033,24,BMW,X1,4992
25,CUPRA,FORMENTOR,1016,25,OPEL,MOKKA,4554
26,OPEL,CROSSLAND X,984,26,FORD,ECOSPORT,4237
27,TOYOTA,AYGO X,970,27,VOLKSWAGEN,GOLF,4211
28,TOYOTA,C-HR,933,28,KIA,PICANTO,4035
29,KIA,PICANTO,921,29,KIA,SPORTAGE,3987
30,ALFA ROMEO,STELVIO,884,30,AUDI,Q3,3778
31,FORD,ECOSPORT,875,31,OPEL,CROSSLAND X,3736
32,NISSAN,QASHQAI,868,32,TOYOTA,C-HR,3687
33,FORD,KUGA,850,33,HYUNDAI,TUCSON,3664
34,VOLKSWAGEN,TAIGO,828,34,AUDI,A3,3373
35,BMW,X3,782,35,FORD,FOCUS,3336
36,VOLKSWAGEN,GOLF,774,36,NISSAN,QASHQAI,3273
37,AUDI,A3,764,37,VOLKSWAGEN,TIGUAN,3243
38,FORD,FOCUS,755,38,HYUNDAI,I10,3050
39,RENAULT,CLIO,750,39,SUZUKI,IGNIS,2956
40,LAND ROVER,RANGE ROVER EVOQUE,734,40,TOYOTA,RAV4,2893
41,AUDI,Q5,725,41,NISSAN,JUKE,2862
42,AUDI,Q2,709,42,FIAT,500L,2830
43,FIAT,500L,709,43,VOLKSWAGEN,TAIGO,2812
44,TOYOTA,RAV4,692,44,MINI,MINI,2808
45,MINI,MINI,622,45,MINI,COUNTRYMAN,2781
46,SKODA,KAMIQ,599,46,FORD,FIESTA,2756
47,MERCEDES,GLA,579,47,ALFA ROMEO,STELVIO,2745
48,KIA,STONIC,571,48,MERCEDES,GLA,2650
49,HYUNDAI,TUCSON,570,49,CUPRA,FORMENTOR,2600
50,OPEL,MOKKA,566,50,FIAT,TIPO,2546
